temperature,time,stoichiometry,production_rate_(g/hr),yield,priority,round
123,29,0.405,PENDING,PENDING,0.0,PENDING
123,29,0.38,PENDING,PENDING,0.0,PENDING
123,29,0.355,PENDING,PENDING,0.0,PENDING
123,29,0.33,PENDING,PENDING,0.0,PENDING
123,27,0.655,PENDING,PENDING,0.0,PENDING
123,27,0.63,PENDING,PENDING,0.0,PENDING
123,27,0.605,PENDING,PENDING,0.0,PENDING
123,27,0.58,PENDING,PENDING,0.0,PENDING
123,27,0.555,PENDING,PENDING,0.0,PENDING
123,27,0.53,PENDING,PENDING,0.0,PENDING
123,27,0.505,PENDING,PENDING,0.0,PENDING
123,27,0.48,PENDING,PENDING,0.0,PENDING
123,27,0.455,PENDING,PENDING,0.0,PENDING
123,27,0.43,PENDING,PENDING,0.0,PENDING
123,27,0.405,PENDING,PENDING,0.0,PENDING
123,27,0.38,PENDING,PENDING,0.0,PENDING
123,27,0.355,PENDING,PENDING,0.0,PENDING
123,27,0.33,PENDING,PENDING,0.0,PENDING
123,25,0.655,PENDING,PENDING,0.0,PENDING
123,25,0.63,PENDING,PENDING,0.0,PENDING
123,25,0.605,PENDING,PENDING,0.0,PENDING
123,25,0.58,PENDING,PENDING,0.0,PENDING
123,25,0.555,PENDING,PENDING,0.0,PENDING
123,25,0.53,PENDING,PENDING,0.0,PENDING
123,25,0.505,PENDING,PENDING,0.0,PENDING
123,25,0.48,PENDING,PENDING,0.0,PENDING
123,25,0.455,PENDING,PENDING,0.0,PENDING
123,25,0.43,PENDING,PENDING,0.0,PENDING
123,25,0.405,PENDING,PENDING,0.0,PENDING
123,25,0.38,PENDING,PENDING,0.0,PENDING
123,25,0.355,PENDING,PENDING,0.0,PENDING
123,25,0.33,PENDING,PENDING,0.0,PENDING
123,23,0.655,PENDING,PENDING,0.0,PENDING
123,23,0.63,PENDING,PENDING,0.0,PENDING
123,23,0.605,PENDING,PENDING,0.0,PENDING
123,23,0.58,PENDING,PENDING,0.0,PENDING
123,23,0.555,PENDING,PENDING,0.0,PENDING
123,23,0.53,PENDING,PENDING,0.0,PENDING
123,23,0.505,PENDING,PENDING,0.0,PENDING
123,23,0.48,PENDING,PENDING,0.0,PENDING
123,23,0.455,PENDING,PENDING,0.0,PENDING
123,23,0.43,PENDING,PENDING,0.0,PENDING
123,23,0.405,PENDING,PENDING,0.0,PENDING
123,23,0.38,PENDING,PENDING,0.0,PENDING
123,23,0.355,PENDING,PENDING,0.0,PENDING
123,23,0.33,PENDING,PENDING,0.0,PENDING
123,21,0.655,PENDING,PENDING,0.0,PENDING
123,21,0.63,PENDING,PENDING,0.0,PENDING
123,21,0.605,PENDING,PENDING,0.0,PENDING
